Date,Open,High,Low,Close*,Adj Close**,Volume
06-Oct-22,441.4,468.6,441.3,454.7,454.7,207
05-Oct-22,434,437.6,421.2,436.6,436.6,207
04-Oct-22,436,448,426.2,434,434,298
03-Oct-22,437.7,442.3,421.3,426,426,404
30-Sep-22,418.7,429.7,412.5,422.5,422.5,370
29-Sep-22,431.9,432.4,402.8,410.9,410.9,593
28-Sep-22,443.7,451,420.1,432.8,432.8,281
27-Sep-22,426.1,448.5,422,429.3,429.3,367
26-Sep-22,432.7,443.9,410.7,410.8,410.8,446
23-Sep-22,451.8,455,430.1,435,435,552
22-Sep-22,489.9,489.9,460,460.2,460.2,362
21-Sep-22,521.7,522.2,492.1,496,496,295
20-Sep-22,503.6,527,502,515.7,515.7,334
19-Sep-22,479.1,486.4,461.4,482.2,482.2,173
16-Sep-22,488.9,488.9,469.5,481.2,481.2,242
15-Sep-22,499,499,482,483.5,483.5,335
14-Sep-22,549.7,549.7,511,511,511,40
13-Sep-22,550,567,548,560,560,194
12-Sep-22,514.7,554.9,511,554.9,554.9,76
09-Sep-22,511.9,519.9,504.7,509,509,54
08-Sep-22,500.9,514.9,499,513.4,513.4,101
07-Sep-22,490,509,485.1,505.5,505.5,85
06-Sep-22,492.2,496.3,485,490,490,83
05-Sep-22,-,-,-,-,-,-
02-Sep-22,492.4,499,484,493.8,493.8,85
01-Sep-22,514.4,517.7,489,499.7,499.7,134
31-Aug-22,500.2,516.5,500.2,509,509,193
30-Aug-22,503.7,514,495.2,504.8,504.8,265
29-Aug-22,523.4,524.5,509.8,516,516,154
26-Aug-22,520,549,511.8,523.6,523.6,157
25-Aug-22,495.4,529.9,495.2,520,520,182
24-Aug-22,522,529.4,490,495.4,495.4,313
23-Aug-22,504.6,530,503.2,516,516,246
22-Aug-22,514.3,516.6,500,500,500,280
19-Aug-22,558.9,558.9,516.6,520,520,392
18-Aug-22,595.9,596.2,560,565.5,565.5,251
17-Aug-22,592.5,609.7,588,598.4,598.4,259
16-Aug-22,581.8,598.3,577.8,596.1,596.1,213
15-Aug-22,590.1,604.7,576.6,588.9,588.9,218
12-Aug-22,602.7,611.4,583.8,588.7,588.7,219
11-Aug-22,621.7,635.6,577.1,595.6,595.6,647
10-Aug-22,573,601.8,573,601.8,601.8,487
09-Aug-22,528.5,565,528.4,552.8,552.8,376
08-Aug-22,489,528.2,483.2,519.3,519.3,398
05-Aug-22,501.1,518.5,473.6,479.2,479.2,282
04-Aug-22,491,502,470.6,500,500,372
03-Aug-22,521,521.3,483,493.2,493.2,362
02-Aug-22,541,541,520.4,521.2,521.2,227
01-Aug-22,529.8,545.2,514.1,534.2,534.2,351
29-Jul-22,534.6,535.1,523.1,527.1,527.1,307
28-Jul-22,555.2,559.2,531,536.7,536.7,371
27-Jul-22,549,561.6,542,555.2,555.2,201
26-Jul-22,565.3,574.5,531.2,556.6,556.6,374
25-Jul-22,583,583,554.3,572.2,572.2,280
22-Jul-22,617,617,576.2,585.3,585.3,256
21-Jul-22,623.8,630,599.4,623.2,623.2,243
20-Jul-22,648.1,648.5,623.1,631.6,631.6,127
19-Jul-22,642.1,648.7,628.2,646.3,646.3,147
18-Jul-22,655,659.9,626.2,640.8,640.8,176
15-Jul-22,655,682,655,682,682,187
14-Jul-22,640,645.7,635,640,640,50
13-Jul-22,650,660,643.5,652,652,65
12-Jul-22,656.6,656.6,643,645,645,33
11-Jul-22,660,670,640.3,661.1,661.1,34
08-Jul-22,666.1,677.5,650,659,659,34
07-Jul-22,640,672,640,668,668,59
06-Jul-22,650,650,610.3,635,635,80
05-Jul-22,654,654,626.6,640,640,63
04-Jul-22,-,-,-,-,-,-
01-Jul-22,660,682.6,650,657,657,118
30-Jun-22,635,670,629.1,663.3,663.3,212
29-Jun-22,628,642.5,624.2,633.6,633.6,195
28-Jun-22,602.8,630.5,602.5,617.6,617.6,164
27-Jun-22,603.1,617.5,603.1,611,611,94
24-Jun-22,622,625,608.5,608.6,608.6,145
23-Jun-22,610.7,623,591.1,617,617,201
